src,dst,proto,len,time,anomaly
172.16.160.200,34.237.73.95,TCP,306,2025-04-11 21:54:48,-1
34.237.73.95,172.16.160.200,TCP,330,2025-04-11 21:54:48,-1
172.16.160.200,142.250.67.163,UDP,1292,2025-04-11 21:54:54,-1
172.16.160.200,142.250.67.163,UDP,1292,2025-04-11 21:54:54,-1
172.16.160.200,142.250.67.163,UDP,905,2025-04-11 21:54:54,-1
142.250.67.163,172.16.160.200,UDP,1292,2025-04-11 21:54:54,-1
172.16.160.200,142.250.67.163,UDP,1292,2025-04-11 21:54:54,-1
142.250.67.163,172.16.160.200,UDP,1292,2025-04-11 21:54:54,-1
142.250.67.163,172.16.160.200,UDP,986,2025-04-11 21:54:54,-1
142.250.67.163,172.16.160.200,UDP,1292,2025-04-11 21:54:54,-1
172.16.160.200,142.250.67.163,UDP,1292,2025-04-11 21:54:54,-1
172.16.160.200,20.189.173.10,TCP,583,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,1466,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,693,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,1466,2025-04-11 21:54:59,-1
34.110.164.207,172.16.160.200,TCP,1466,2025-04-11 21:54:59,-1
34.110.164.207,172.16.160.200,TCP,1466,2025-04-11 21:54:59,-1
34.110.164.207,172.16.160.200,TCP,1466,2025-04-11 21:54:59,-1
34.110.164.207,172.16.160.200,TCP,380,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,130,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,158,2025-04-11 21:54:59,-1
172.16.160.200,34.110.164.207,TCP,657,2025-04-11 21:54:59,-1
34.110.164.207,172.16.160.200,TCP,652,2025-04-11 21:54:59,-1
20.189.173.10,172.16.160.200,TCP,165,2025-04-11 21:54:59,-1
172.16.160.200,20.189.173.10,TCP,503,2025-04-11 21:54:59,-1
20.189.173.10,172.16.160.200,TCP,1514,2025-04-11 21:55:00,-1
20.189.173.10,172.16.160.200,TCP,1514,2025-04-11 21:55:00,-1
20.189.173.10,172.16.160.200,TCP,1514,2025-04-11 21:55:00,-1
20.189.173.10,172.16.160.200,TCP,253,2025-04-11 21:55:00,-1
172.16.160.200,20.189.173.10,TCP,1494,2025-04-11 21:55:00,-1
172.16.160.200,20.189.173.10,TCP,401,2025-04-11 21:55:00,-1
20.189.173.10,172.16.160.200,TCP,169,2025-04-11 21:55:00,-1
20.189.173.10,172.16.160.200,TCP,531,2025-04-11 21:55:00,-1
34.110.164.207,172.16.160.200,TCP,233,2025-04-11 21:55:00,-1
34.110.164.207,172.16.160.200,TCP,211,2025-04-11 21:55:00,-1
172.16.160.200,35.174.127.31,TCP,307,2025-04-11 21:55:02,-1
35.174.127.31,172.16.160.200,TCP,329,2025-04-11 21:55:02,-1
172.16.160.199,224.0.0.251,UDP,1003,2025-04-11 21:55:02,-1
172.16.160.200,8.8.8.8,TCP,1514,2025-04-11 21:55:03,-1
172.16.160.200,8.8.8.8,TCP,402,2025-04-11 21:55:03,-1
8.8.8.8,172.16.160.200,TCP,1514,2025-04-11 21:55:03,-1
8.8.8.8,172.16.160.200,TCP,1514,2025-04-11 21:55:03,-1
8.8.8.8,172.16.160.200,TCP,1514,2025-04-11 21:55:03,-1
8.8.8.8,172.16.160.200,TCP,578,2025-04-11 21:55:03,-1
172.16.160.200,34.237.73.95,TCP,307,2025-04-11 21:55:04,-1
34.237.73.95,172.16.160.200,TCP,330,2025-04-11 21:55:04,-1
172.16.160.200,142.251.42.78,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.78,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.78,UDP,1288,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.78,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.78,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.78,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.78,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.78,172.16.160.200,UDP,992,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.78,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.78,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.78,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.46,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.46,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.46,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.46,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.46,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.46,172.16.160.200,UDP,1292,2025-04-11 21:55:06,-1
142.251.42.46,172.16.160.200,UDP,985,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.46,UDP,1288,2025-04-11 21:55:06,-1
172.16.160.200,142.251.42.46,UDP,1292,2025-04-11 21:55:06,-1
172.16.160.200,35.186.224.24,UDP,963,2025-04-11 21:55:08,-1
